Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
101, 00:1:44, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 100, 0.787, 6404064, 0,  8.663E012,  8.663E012, 1
102, 00:1:45, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 101, 0.795, 6404065, 0,  8.693E012,  8.693E012, 1
103, 00:1:46, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 102, 0.803, 6404066, 0,  8.938E012,  8.938E012, 1
104, 00:1:47, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 103, 0.811, 6404067, 0,  9.003E012,  9.003E012, 1
105, 00:1:48, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 104, 0.819, 6404068, 0,  8.921E012,  8.921E012, 1
106, 00:1:49, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 105, 0.827, 6404069, 0,  8.910E012,  8.910E012, 1
107, 00:1:50, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 106, 0.835, 640406A, 0,  8.733E012,  8.733E012, 1
108, 00:1:51, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 107, 0.843, 640406B, 0,  8.699E012,  8.699E012, 1
109, 00:1:52, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 108, 0.850, 640406C, 0,  8.636E012,  8.636E012, 1
110, 00:1:53, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 109, 0.858, 640406D, 0,  8.941E012,  8.941E012, 1
111, 00:1:54, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 110, 0.866, 640406E, 0,  8.659E012,  8.659E012, 1
112, 00:1:55, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 111, 0.874, 640406F, 0,  8.708E012,  8.708E012, 1
113, 00:1:56, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 112, 0.882, 6404070, 0,  8.918E012,  8.918E012, 1
114, 00:1:57, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 113, 0.890, 6404071, 0,  8.958E012,  8.958E012, 1
115, 00:1:58, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 114, 0.898, 6404072, 0,  8.755E012,  8.755E012, 1
116, 00:1:59, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 115, 0.906, 6404073, 0,  8.704E012,  8.704E012, 1
117, 00:2:00, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 116, 0.913, 6404074, 0,  8.731E012,  8.731E012, 1
118, 00:2:1, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 117, 0.921, 6404075, 0,  8.874E012,  8.874E012, 1
